GEOID10,Geography,MdHHinc_ES,MdHHinc_ME
25001010100,"Census Tract 101, Barnstable County, Massachusetts",44646,6202
25001010206,"Census Tract 102.06, Barnstable County, Massachusetts",66109,11570
25001010208,"Census Tract 102.08, Barnstable County, Massachusetts",80425,34351
25001010304,"Census Tract 103.04, Barnstable County, Massachusetts",64659,24730
25001010306,"Census Tract 103.06, Barnstable County, Massachusetts",54464,23360
25001010400,"Census Tract 104, Barnstable County, Massachusetts",51614,7201
25001010500,"Census Tract 105, Barnstable County, Massachusetts",62589,7217
25001010600,"Census Tract 106, Barnstable County, Massachusetts",64477,6265
25001010700,"Census Tract 107, Barnstable County, Massachusetts",67569,6677
25001010800,"Census Tract 108, Barnstable County, Massachusetts",58610,7033
25001010900,"Census Tract 109, Barnstable County, Massachusetts",57955,8476
25001011002,"Census Tract 110.02, Barnstable County, Massachusetts",55865,10914
25001011100,"Census Tract 111, Barnstable County, Massachusetts",55833,4244
25001011200,"Census Tract 112, Barnstable County, Massachusetts",52146,7139
25001011300,"Census Tract 113, Barnstable County, Massachusetts",55764,9900
25001011400,"Census Tract 114, Barnstable County, Massachusetts",61013,7697
25001011500,"Census Tract 115, Barnstable County, Massachusetts",50244,8187
25001011600,"Census Tract 116, Barnstable County, Massachusetts",47188,8700
25001011700,"Census Tract 117, Barnstable County, Massachusetts",36555,11920
25001011801,"Census Tract 118.01, Barnstable County, Massachusetts",63092,7375
25001011802,"Census Tract 118.02, Barnstable County, Massachusetts",62589,6661
25001012001,"Census Tract 120.01, Barnstable County, Massachusetts",50590,6385
25001012002,"Census Tract 120.02, Barnstable County, Massachusetts",37135,7793
25001012101,"Census Tract 121.01, Barnstable County, Massachusetts",48036,9212
25001012102,"Census Tract 121.02, Barnstable County, Massachusetts",43941,2687
25001012200,"Census Tract 122, Barnstable County, Massachusetts",71516,17712
25001012502,"Census Tract 125.02, Barnstable County, Massachusetts",47353,12316
25001012601,"Census Tract 126.01, Barnstable County, Massachusetts",69784,11209
25001012602,"Census Tract 126.02, Barnstable County, Massachusetts",36683,9123
25001012700,"Census Tract 127, Barnstable County, Massachusetts",62684,10361
25001012800,"Census Tract 128, Barnstable County, Massachusetts",75250,14407
25001012900,"Census Tract 129, Barnstable County, Massachusetts",64631,16417
25001013002,"Census Tract 130.02, Barnstable County, Massachusetts",73954,7765
25001013100,"Census Tract 131, Barnstable County, Massachusetts",70348,10112
25001013200,"Census Tract 132, Barnstable County, Massachusetts",75166,4742
25001013300,"Census Tract 133, Barnstable County, Massachusetts",81848,4218
25001013400,"Census Tract 134, Barnstable County, Massachusetts",87269,13691
25001013500,"Census Tract 135, Barnstable County, Massachusetts",86490,14005
25001013600,"Census Tract 136, Barnstable County, Massachusetts",82198,6038
25001013700,"Census Tract 137, Barnstable County, Massachusetts",53274,10293
25001013800,"Census Tract 138, Barnstable County, Massachusetts",68597,9561
25001013900,"Census Tract 139, Barnstable County, Massachusetts",70197,10401
25001014002,"Census Tract 140.02, Barnstable County, Massachusetts",60788,3625
25001014100,"Census Tract 141, Barnstable County, Massachusetts",39803,15679
25001014300,"Census Tract 143, Barnstable County, Massachusetts",67750,9073
25001014402,"Census Tract 144.02, Barnstable County, Massachusetts",71305,5071
25001014500,"Census Tract 145, Barnstable County, Massachusetts",57757,10532
25001014600,"Census Tract 146, Barnstable County, Massachusetts",62841,8819
25001014700,"Census Tract 147, Barnstable County, Massachusetts",53047,8119
25001014800,"Census Tract 148, Barnstable County, Massachusetts",30161,7152
25001014900,"Census Tract 149, Barnstable County, Massachusetts",82850,16494
25001015001,"Census Tract 150.01, Barnstable County, Massachusetts",64803,13284
25001015002,"Census Tract 150.02, Barnstable County, Massachusetts",52083,15860
25001015100,"Census Tract 151, Barnstable County, Massachusetts",66056,5774
25001015200,"Census Tract 152, Barnstable County, Massachusetts",68906,23279
25001015300,"Census Tract 153, Barnstable County, Massachusetts",29940,6756
25001990000,"Census Tract 9900, Barnstable County, Massachusetts",,
25003900100,"Census Tract 9001, Berkshire County, Massachusetts",19712,5790
25003900200,"Census Tract 9002, Berkshire County, Massachusetts",31374,5539
25003900300,"Census Tract 9003, Berkshire County, Massachusetts",56646,8287
25003900400,"Census Tract 9004, Berkshire County, Massachusetts",45391,9708
25003900500,"Census Tract 9005, Berkshire County, Massachusetts",61982,7954
25003900600,"Census Tract 9006, Berkshire County, Massachusetts",28710,6866
25003900700,"Census Tract 9007, Berkshire County, Massachusetts",50430,7098
25003900800,"Census Tract 9008, Berkshire County, Massachusetts",72952,7701
25003900900,"Census Tract 9009, Berkshire County, Massachusetts",49208,10092
25003901100,"Census Tract 9011, Berkshire County, Massachusetts",46412,5284
25003911100,"Census Tract 9111, Berkshire County, Massachusetts",66458,12184
25003912100,"Census Tract 9121, Berkshire County, Massachusetts",57222,4012
25003913100,"Census Tract 9131, Berkshire County, Massachusetts",60604,7836
25003914100,"Census Tract 9141, Berkshire County, Massachusetts",50599,5487
25003920101,"Census Tract 9201.01, Berkshire County, Massachusetts",58468,7181
25003920102,"Census Tract 9201.02, Berkshire County, Massachusetts",78529,12132
25003921300,"Census Tract 9213, Berkshire County, Massachusetts",33401,8921
25003921400,"Census Tract 9214, Berkshire County, Massachusetts",35417,9795
25003921500,"Census Tract 9215, Berkshire County, Massachusetts",35885,21167
25003922100,"Census Tract 9221, Berkshire County, Massachusetts",33000,6385
25003922200,"Census Tract 9222, Berkshire County, Massachusetts",38255,2275
25003922300,"Census Tract 9223, Berkshire County, Massachusetts",44604,15258
25003923100,"Census Tract 9231, Berkshire County, Massachusetts",57419,7580
25003924100,"Census Tract 9241, Berkshire County, Massachusetts",55096,12403
25003925100,"Census Tract 9251, Berkshire County, Massachusetts",52843,11169
25003926100,"Census Tract 9261, Berkshire County, Massachusetts",47145,6937
25003931100,"Census Tract 9311, Berkshire County, Massachusetts",52054,6519
25003931300,"Census Tract 9313, Berkshire County, Massachusetts",54167,8806
25003931400,"Census Tract 9314, Berkshire County, Massachusetts",70662,3580
25003932200,"Census Tract 9322, Berkshire County, Massachusetts",48478,8991
25003932300,"Census Tract 9323, Berkshire County, Massachusetts",60766,6857
25003933200,"Census Tract 9332, Berkshire County, Massachusetts",63250,26714
25003933300,"Census Tract 9333, Berkshire County, Massachusetts",57917,11026
25003933400,"Census Tract 9334, Berkshire County, Massachusetts",62955,9521
25003934200,"Census Tract 9342, Berkshire County, Massachusetts",68750,10555
25003934300,"Census Tract 9343, Berkshire County, Massachusetts",55764,4646
25003935100,"Census Tract 9351, Berkshire County, Massachusetts",79145,8136
25003935200,"Census Tract 9352, Berkshire County, Massachusetts",54000,6965
25003935300,"Census Tract 9353, Berkshire County, Massachusetts",40023,9810
25005600100,"Census Tract 6001, Bristol County, Massachusetts",66042,17685
25005600202,"Census Tract 6002.02, Bristol County, Massachusetts",67361,10069
25005600203,"Census Tract 6002.03, Bristol County, Massachusetts",127500,14120
25005600204,"Census Tract 6002.04, Bristol County, Massachusetts",82256,9188
25005610100,"Census Tract 6101, Bristol County, Massachusetts",59741,11909
25005610202,"Census Tract 6102.02, Bristol County, Massachusetts",117288,15719
25005610203,"Census Tract 6102.03, Bristol County, Massachusetts",109544,11435
25005610204,"Census Tract 6102.04, Bristol County, Massachusetts",83491,14362
25005611101,"Census Tract 6111.01, Bristol County, Massachusetts",90453,10532
25005611102,"Census Tract 6111.02, Bristol County, Massachusetts",83105,13545
25005611201,"Census Tract 6112.01, Bristol County, Massachusetts",80444,15021
25005611202,"Census Tract 6112.02, Bristol County, Massachusetts",64031,4792
25005612100,"Census Tract 6121, Bristol County, Massachusetts",90691,9448
25005612200,"Census Tract 6122, Bristol County, Massachusetts",69496,9448
25005613100,"Census Tract 6131, Bristol County, Massachusetts",63002,5783
25005613300,"Census Tract 6133, Bristol County, Massachusetts",85221,10794
25005613400,"Census Tract 6134, Bristol County, Massachusetts",66500,12113
25005613600,"Census Tract 6136, Bristol County, Massachusetts",33417,8907
25005613700,"Census Tract 6137, Bristol County, Massachusetts",50333,7526
25005613800,"Census Tract 6138, Bristol County, Massachusetts",25568,6634
25005613901,"Census Tract 6139.01, Bristol County, Massachusetts",41302,7399
25005613902,"Census Tract 6139.02, Bristol County, Massachusetts",47143,4944
25005614000,"Census Tract 6140, Bristol County, Massachusetts",35603,13348
25005614101,"Census Tract 6141.01, Bristol County, Massachusetts",60843,6520
25005614102,"Census Tract 6141.02, Bristol County, Massachusetts",81149,11223
25005615100,"Census Tract 6151, Bristol County, Massachusetts",83621,7307
25005616100,"Census Tract 6161, Bristol County, Massachusetts",81125,8386
25005617101,"Census Tract 6171.01, Bristol County, Massachusetts",91095,3033
25005617102,"Census Tract 6171.02, Bristol County, Massachusetts",73828,7515
25005630101,"Census Tract 6301.01, Bristol County, Massachusetts",58895,7159
25005630102,"Census Tract 6301.02, Bristol County, Massachusetts",66250,11567
25005630200,"Census Tract 6302, Bristol County, Massachusetts",103463,7067
25005630300,"Census Tract 6303, Bristol County, Massachusetts",80406,9296
25005630400,"Census Tract 6304, Bristol County, Massachusetts",63576,12984
25005631100,"Census Tract 6311, Bristol County, Massachusetts",65028,8168
25005631200,"Census Tract 6312, Bristol County, Massachusetts",77641,15437
25005631300,"Census Tract 6313, Bristol County, Massachusetts",69488,15775
